config_id,split,mode,m,max_edges,edge_selection,channel_set,preprocess,label_shift_ms,stride,epochs,mfg_feature_mode,ema_half_life_s,train_series,val_series,baseline_windows_ms,baseline_lags_ms,edges_used,baseline_auc,mfg_auc,combined_auc,baseline_ap,mfg_ap,combined_ap,combined_minus_baseline,mfg_minus_baseline,result_dir
14,1-2-3-4-5-6|7,corr,2,4,event_union,ocular_proxy_only,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,8,0.6446558360371251,0.526348708302056,0.6525147325022697,0.06784153584966689,0.04181377014303244,0.0643400985601683,0.007858896465144594,-0.11830712773506902,out\classification_controls\runs\cfg_014
30,1-2-3-4-5-6|7,corr,2,8,event_union,ocular_proxy_only,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,8,0.6446558360371251,0.526348708302056,0.6525147325022697,0.06784153584966689,0.04181377014303244,0.0643400985601683,0.007858896465144594,-0.11830712773506902,out\classification_controls\runs\cfg_030
6,1-2-3-4-5-6|7,corr,2,4,event_union,no_fp1_fp2,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,24,0.6267505435485776,0.5138454042645196,0.6341325135213701,0.05749686649674527,0.040353117520625814,0.05974048673581576,0.0073819699727925014,-0.11290513928405799,out\classification_controls\runs\cfg_006
53,1-2-3-4-5-6-7|8,corr,2,8,event_union,no_fp1_fp2,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,48,0.6503195517260243,0.5922420101829355,0.6551466448068917,0.06650654349369099,0.05337364777431092,0.06854418704420513,0.004827093080867373,-0.05807754154308875,out\classification_controls\runs\cfg_053
56,1-2-3-4-5-6-7|8,corr,2,8,event_union,no_fp1_fp2,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,48,0.7036523226062247,0.5824938898633546,0.7063451110660771,0.08945239735606637,0.048132924209196314,0.07694725101297092,0.0026927884598524354,-0.12115843274287008,out\classification_controls\runs\cfg_056
13,1-2-3-4-5-6|7,corr,2,4,event_union,ocular_proxy_only,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,8,0.6619985887034702,0.5162773867660848,0.6644090367983074,0.07437795837857973,0.04050918419857305,0.06337863274732211,0.0024104480948372586,-0.14572120193738536,out\classification_controls\runs\cfg_013
29,1-2-3-4-5-6|7,corr,2,8,event_union,ocular_proxy_only,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,8,0.6619985887034702,0.5162773867660848,0.6644090367983074,0.07437795837857973,0.04050918419857305,0.06337863274732211,0.0024104480948372586,-0.14572120193738536,out\classification_controls\runs\cfg_029
9,1-2-3-4-5-6|7,corr,2,4,event_union,motor_premotor,car_only,0.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,20,0.6456223583424257,0.5457691762490613,0.6461759943391159,0.05549252847564484,0.0432778905288104,0.056968332009475875,0.0005536359966902271,-0.09985318209336436,out\classification_controls\runs\cfg_009
20,1-2-3-4-5-6|7,corr,2,8,event_union,all32,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,48,0.6858148354473337,0.5490123335486845,0.6859884512670664,0.08024088004734953,0.04362153962504472,0.07231109189139433,0.00017361581973274198,-0.13680250189864918,out\classification_controls\runs\cfg_020
46,1-2-3-4-5-6-7|8,corr,2,4,event_union,ocular_proxy_only,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,8,0.6611065942982707,0.5532892270552969,0.6610591057282245,0.07452442407376692,0.042851778985425894,0.06261606515640784,-4.748857004621687e-05,-0.10781736724297375,out\classification_controls\runs\cfg_046
62,1-2-3-4-5-6-7|8,corr,2,8,event_union,ocular_proxy_only,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,8,0.6611065942982707,0.5532892270552969,0.6610591057282245,0.07452442407376692,0.042851778985425894,0.06261606515640784,-4.748857004621687e-05,-0.10781736724297375,out\classification_controls\runs\cfg_062
58,1-2-3-4-5-6-7|8,corr,2,8,event_union,motor_premotor,car_only,500.0,100,1,expanded,0.1,1 2 3 4 5 6 7,8,100 200 500,50 100 200,32,0.5742667302095376,0.529988594229938,0.5731243979170488,0.046565634005865074,0.03925453516934573,0.04463685297731984,-0.0011423322924887236,-0.04427813597959951,out\classification_controls\runs\cfg_058
28,1-2-3-4-5-6|7,corr,2,8,event_union,motor_premotor,bandpass_0_5_48,500.0,100,1,expanded,0.1,1 2 3 4 5 6,7,100 200 500,50 100 200,32,0.6026867913540348,0.4968707809148129,0.5969286009648519,0.054640620931334836,0.037106809967600914,0.052318797815465556,-0.0057581903891829045,-0.1058160104392219,out\classification_controls\runs\cfg_028
